model	strategy	subset	k	agent_acc	step_acc
gpt-oss-20b	all-at-once	long-context	1	17.39	0.0
gpt-oss-20b	all-at-once	long-context	3	17.39	0.0
gpt-oss-20b	all-at-once	long-context	5	17.39	0.0
gpt-oss-20b	all-at-once	long-context	10	17.39	0.0
gpt-oss-20b	step-by-step	long-context	1	30.43	8.7
gpt-oss-20b	step-by-step	long-context	3	56.52	21.74
gpt-oss-20b	step-by-step	long-context	5	65.22	30.43
gpt-oss-20b	step-by-step	long-context	10	65.22	34.78
gpt-oss-20b	agent-grad	long-context	1	4.35	0.0
gpt-oss-20b	agent-grad	long-context	3	26.09	17.39
gpt-oss-20b	agent-grad	long-context	5	43.48	30.43
gpt-oss-20b	agent-grad	long-context	10	47.83	39.13
gpt-oss-20b	text-grad	long-context	1	17.39	8.7
gpt-oss-20b	text-grad	long-context	3	60.87	30.43
gpt-oss-20b	text-grad	long-context	5	69.57	34.78
gpt-oss-20b	text-grad	long-context	10	69.57	34.78
gpt-oss-20b	all-at-once	hand-crafted	1	34.48	24.14
gpt-oss-20b	all-at-once	hand-crafted	3	34.48	24.14
gpt-oss-20b	all-at-once	hand-crafted	5	34.48	24.14
gpt-oss-20b	all-at-once	hand-crafted	10	34.48	24.14
gpt-oss-20b	step-by-step	hand-crafted	1	31.03	18.97
gpt-oss-20b	step-by-step	hand-crafted	3	51.72	41.38
gpt-oss-20b	step-by-step	hand-crafted	5	58.62	48.28
gpt-oss-20b	step-by-step	hand-crafted	10	58.62	51.72
gpt-oss-20b	agent-grad	hand-crafted	1	6.9	3.45
gpt-oss-20b	agent-grad	hand-crafted	3	22.41	15.52
gpt-oss-20b	agent-grad	hand-crafted	5	37.93	27.59
gpt-oss-20b	agent-grad	hand-crafted	10	46.55	44.83
gpt-oss-20b	text-grad	hand-crafted	1	13.79	10.34
gpt-oss-20b	text-grad	hand-crafted	3	48.28	34.48
gpt-oss-20b	text-grad	hand-crafted	5	60.34	50.0
gpt-oss-20b	text-grad	hand-crafted	10	62.07	53.45
